year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,1932540,S,Eagle Rock High,Los Angeles Unified,Los Angeles,No,0.570056744,420,251,198,78.88,135,53.78,134,53.39,374,330,235,71.21,165,50,160,48.48
2018-19,1.96473E+13,19,1964733,111492,S,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,Yes,0.96625222,131,121,39,32.23,31,25.62,26,21.49,136,129,58,44.96,33,25.58,29,22.48
2018-19,1.96473E+13,19,1964733,111575,S,Animo Ralph Bunche Charter High,Los Angeles Unified,Los Angeles,Yes,0.985294118,147,80,29,36.25,10,12.5,9,11.25,143,102,49,48.04,19,18.63,17,16.67
2018-19,1.96473E+13,19,1964733,1931393,S,Highland Park Continuation,Los Angeles Unified,Los Angeles,No,0.909090909,15,8,,,,,,,28,20,3,15,1,5,1,5
2018-19,1.96473E+13,19,1964733,1931559,S,Stoney Point Continuation,Los Angeles Unified,Los Angeles,No,0.879120879,23,0,,,,,,,25,2,,,,,,
2018-19,1.96473E+13,19,1964733,1996610,S,Los Angeles Leadership Academy,Los Angeles Unified,Los Angeles,Yes,0.841269841,44,46,17,36.96,5,10.87,5,10.87,64,39,17,43.59,4,10.26,3,7.69
2018-19,1.96473E+13,19,1964733,102541,S,New Designs Charter,Los Angeles Unified,Los Angeles,Yes,0.914619883,86,67,35,52.24,15,22.39,12,17.91,107,41,17,41.46,11,26.83,8,19.51
2018-19,1.96473E+13,19,1964733,111583,S,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,Yes,0.981996727,148,116,33,28.45,31,26.72,22,18.97,150,110,49,44.55,31,28.18,26,23.64
2018-19,1.96473E+13,19,1964733,111641,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,Yes,0.91350826,130,126,54,42.86,23,18.25,22,17.46,155,140,67,47.86,39,27.86,37,26.43
2018-19,1.96473E+13,19,1964733,112045,S,Arleta High,Los Angeles Unified,Los Angeles,No,0.873511905,311,147,46,31.29,27,18.37,21,14.29,359,298,114,38.26,64,21.48,57,19.13
2018-19,1.96473E+13,19,1964733,114850,S,West Adams Preparatory High,Los Angeles Unified,Los Angeles,No,0.937037037,252,173,64,36.99,26,15.03,21,12.14,362,311,82,26.37,35,11.25,29,9.32
2018-19,1.96473E+13,19,1964733,115253,S,Discovery Charter Preparatory School #2,Los Angeles Unified,Los Angeles,Yes,0.727969349,60,42,12,28.57,4,9.52,4,9.52,48,9,,,,,,
2018-19,1.96473E+13,19,1964733,117598,S,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,Yes,0.958984375,105,85,20,23.53,6,7.06,5,5.88,135,66,28,42.42,14,21.21,11,16.67
2018-19,1.96473E+13,19,1964733,117606,S,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,Yes,0.864919355,128,111,62,55.86,37,33.33,31,27.93,107,96,68,70.83,38,39.58,36,37.5
2018-19,1.96473E+13,19,1964733,1938307,S,South Gate Senior High,Los Angeles Unified,Los Angeles,No,0.888387362,528,250,135,54,65,26,60,24,586,539,214,39.7,75,13.91,68,12.62
2018-19,1.96473E+13,19,1964733,1939859,S,Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,No,0.908005618,317,174,89,51.15,22,12.64,21,12.07,301,290,105,36.21,56,19.31,47,16.21
2018-19,1.96473E+13,19,1964733,108936,S,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,Yes,0.939597315,141,138,71,51.45,29,21.01,29,21.01,150,147,88,59.86,43,29.25,41,27.89
2018-19,1.96473E+13,19,1964733,126615,S,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,No,0.703153989,126,48,23,47.92,12,25,11,22.92,145,136,65,47.79,15,11.03,15,11.03
2018-19,1.96473E+13,19,1964733,127795,S,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,No,0.95010846,90,92,20,21.74,9,9.78,8,8.7,100,104,25,24.04,9,8.65,8,7.69
2018-19,1.96473E+13,19,1964733,1930783,S,Phoenix Continuation,Los Angeles Unified,Los Angeles,No,0.672727273,7,1,,,,,,,29,27,5,18.52,1,3.7,1,3.7
2018-19,1.96473E+13,19,1964733,1931930,S,Dan M. Issacs Avalon High,Los Angeles Unified,Los Angeles,No,0.93902439,25,6,,,,,,,33,8,,,,,,
2018-19,1.96473E+13,19,1964733,1933746,S,Granada Hills Charter High,Los Angeles Unified,Los Angeles,Yes,0.522988506,1120,531,475,89.45,390,73.45,377,71,1218,522,493,94.44,447,85.63,439,84.1
