year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647330124560.0,19.0,1964733.0,124560.0,S,Los Angeles Unified,Los Angeles,Synergy Quantum Academy,Yes,0.976491862567812,125.0,15.0,19,19,20,19,6,40.0
2018-19,19647331938612.0,19.0,1964733.0,1938612.0,S,Los Angeles Unified,Los Angeles,Taft Charter High,Yes,0.6171941830624466,498.0,80.0,24,23,22,23,54,67.5
2018-19,19647331937424.0,19.0,1964733.0,1937424.0,S,Los Angeles Unified,Los Angeles,Theodore Roosevelt Senior High,No,0.9491392801251957,306.0,68.0,16,15,16,16,9,13.24
2018-19,19647331934371.0,19.0,1964733.0,1934371.0,S,Los Angeles Unified,Los Angeles,Thomas Jefferson Senior High,No,0.9363354037267081,116.0,50.0,15,14,16,16,1,2.0
2018-19,19647330119693.0,19.0,1964733.0,119693.0,S,Los Angeles Unified,Los Angeles,UCLA Community K-12,No,0.9096446700507614,91.0,21.0,18,16,18,18,4,19.05
2018-19,19647331933795.0,19.0,1964733.0,1933795.0,S,Los Angeles Unified,Los Angeles,Ulysses S. Grant Senior High,No,0.8434038267875126,432.0,41.0,21,21,21,21,22,53.66
2018-19,19647331938885.0,19.0,1964733.0,1938885.0,S,Los Angeles Unified,Los Angeles,University High School Charter,Yes,0.7379219060225016,336.0,58.0,21,21,20,20,25,43.1
2018-19,19647330132027.0,19.0,1964733.0,132027.0,S,Los Angeles Unified,Los Angeles,University Preparatory Value High,Yes,0.9081419624217119,113.0,34.0,18,16,18,18,7,20.59
2018-19,19647330124362.0,19.0,1964733.0,124362.0,S,Los Angeles Unified,Los Angeles,Valley Academy of Arts and Sciences,No,0.6495327102803738,262.0,30.0,21,20,19,20,10,33.33
2018-19,19647330137612.0,19.0,1964733.0,137612.0,S,Los Angeles Unified,Los Angeles,Valley International Preparatory High,Yes,0.24271844660194175,71.0,20.0,26,22,20,22,13,65.0
2018-19,19647330127894.0,19.0,1964733.0,127894.0,S,Los Angeles Unified,Los Angeles,Valor Academy High,Yes,0.92,122.0,82.0,15,15,17,17,8,9.76
2018-19,19647331938968.0,19.0,1964733.0,1938968.0,S,Los Angeles Unified,Los Angeles,Van Nuys Senior High,No,0.7593014426727411,535.0,97.0,26,26,25,25,80,82.47
2018-19,19647336019715.0,19.0,1964733.0,6019715.0,S,Los Angeles Unified,Los Angeles,Vaughn Next Century Learning Center,Yes,0.9740863787375416,157.0,35.0,18,17,17,18,7,20.0
2018-19,19647331939040.0,19.0,1964733.0,1939040.0,S,Los Angeles Unified,Los Angeles,Venice Senior High,No,0.640625,398.0,96.0,23,22,22,22,57,59.38
2018-19,19647331939479.0,19.0,1964733.0,1939479.0,S,Los Angeles Unified,Los Angeles,WESM Health/Sports Medicine,No,0.7296996662958843,182.0,35.0,18,17,18,18,6,17.14
2018-19,19647331939859.0,19.0,1964733.0,1939859.0,S,Los Angeles Unified,Los Angeles,Woodrow Wilson Senior High,No,0.9080056179775281,317.0,68.0,18,17,17,18,11,16.18
